geoName,Xbox
Algeria,45
Argentina,23
Australia,62
Austria,33
Belgium,23
Brazil,72
Canada,68
Chile,43
Colombia,48
Czechia,36
Denmark,22
Dominican Republic,32
Egypt,10
Finland,32
France,43
Germany,39
Greece,13
Hungary,65
India,7
Indonesia,6
Iran,15
Iraq,30
Ireland,58
Israel,28
Italy,32
Japan,5
Lithuania,34
Malaysia,13
Mexico,84
Morocco,31
Netherlands,36
New Zealand,57
Norway,30
Pakistan,24
Philippines,17
Poland,36
Portugal,15
Puerto Rico,60
Romania,24
Russia,19
Saudi Arabia,11
Singapore,18
Slovakia,35
South Africa,39
Spain,29
Sweden,41
Switzerland,19
Taiwan,8
Thailand,6
Turkey,7
Ukraine,11
United Arab Emirates,20
United Kingdom,100
United States,85
Uruguay,41
Venezuela,20
Vietnam,3
